"date","champaign","salem","ithaca"
2022-05-14,74.3675,70.01,68.3375
2022-05-15,68.1275,65.2475,67.4
2022-05-16,64.4,63.8525,59.03
2022-05-17,67.6475,65.285,52.685
2022-05-18,65.03,70.235,50.7725
2022-05-19,68.45,65.8175,55.295
2022-05-20,76.085,75.5825,63.575
2022-05-21,NA,59.435,74.99
2022-05-22,56.1125,53.7875,64.88
2022-05-23,56.09,56.2175,52.925
2022-05-24,63.155,60.065,54.3725
2022-05-25,70.94,65.915,61.7075
2022-05-26,67.5425,56.135,65.0075
2022-05-27,59.8325,56.9225,66.485
2022-05-28,NA,63.8375,60.11
2022-05-29,71.675,72.6125,59.54
2022-05-30,76.4075,74.6375,67.5875
2022-05-31,78.74,76.0025,73.2425
2022-06-01,71.435,70.115,68.2175
2022-06-02,68.12,64.1975,65.3
2022-06-03,68.225,61.97,61.0925
2022-06-04,70.4825,64.8875,56.45
2022-06-05,71.84,69.7925,56.4425
2022-06-06,71.63,67.3775,66.485
2022-06-07,70.3175,70.0775,64.775
2022-06-08,64.82,68.63,61.1375
2022-06-09,66.02,67.3775,58.0625
2022-06-10,64.625,68.7425,60.125
2022-06-11,69.65,74.63,58.4075
2022-06-12,75.485,81.4625,62.9075
2022-06-13,83.105,83.69,63.1625
2022-06-14,86.645,82.4225,63.6725
2022-06-15,85.0175,81.38,67.8425
2022-06-16,86.465,81.245,71.5925
2022-06-17,79.6775,80.96,72.1625
2022-06-18,71.285,76.0025,53.12
2022-06-19,69.005,68.9825,53.1425
2022-06-20,74.9825,72.4325,56.8325
2022-06-21,80.6825,77.2025,62.84
2022-06-22,80.42,76.5875,68.2175
